DistrictID,MandalID,VillageID,Tax,SurveyNO,Cultivated,NonCultivated,DistName
1,1,10,10,1,2,60,????????????
1,1,11,11,2,4,58,????????????
1,1,12,32,3,6,56,????????????
1,2,13,12,4,8,54,????????????
1,2,14,33,5,10,52,????????????
1,2,15,34,6,12,50,????????????
1,3,16,43,7,14,48,????????????
1,3,1,32,8,16,46,????????????
1,3,18,44,9,18,44,????????????
1,3,19,33,10,20,42,????????????
2,4,20,22,11,22,40,????????????
2,4,21,45,12,24,38,????????????
2,4,22,36,13,26,36,????????????
2,5,23,6,14,28,34,????????????
2,5,24,54,15,30,32,????????????
2,5,25,55,16,32,30,????????????
2,6,26,67,17,34,28,????????????
2,6,27,7,18,36,26,????????????
2,6,28,67,19,38,24,????????????
2,6,29,78,20,40,22,????????????
3,7,30,34,21,42,20,????????????
3,7,31,43,22,44,18,????????????
3,7,32,58,23,46,16,????????????
3,8,33,34,24,48,14,????????????
3,8,34,54,25,50,12,????????????
3,8,35,65,26,52,10,????????????
3,9,36,76,27,54,8,????????????
3,9,37,23,28,56,6,????????????
3,9,38,12,29,58,4,????????????
3,9,39,32,30,60,2,????????????
